Modification Number,Action Date,Amount,Action Type,Transaction Description
P00020,2025-08-29,"30,000,000.00",EXERCISE AN OPTION,EO14042 EMERGENT AV7909 ANTHRAX VACCINE
P00019,2025-04-04,0.00,CHANGE ORDER,EO14042 EMERGENT AV7909 ANTHRAX VACCINE
P00018,2024-12-12,"50,000,000.00",EXERCISE AN OPTION,EO14042 EMERGENT AV7909 ANTHRAX VACCINE
P00017,2024-06-26,"30,000,000.00",EXERCISE AN OPTION,EO14042 EMERGENT AV7909 ANTHRAX VACCINE
P00016,2023-11-21,"74,999,936.10",EXERCISE AN OPTION,EO14042 EMERGENT AV7909 ANTHRAX VACCINE
P00015,2023-10-06,0.00,CHANGE ORDER,EO14042 EMERGENT AV7909 ANTHRAX VACCINE
P00014,2023-06-16,"75,000,000.00",EXERCISE AN OPTION,EO14042 EMERGENT AV7909 ANTHRAX VACCINE
P00013,2023-03-30,"4,500,000.00",CHANGE ORDER,EO14042 EMERGENT AV7909 ANTHRAX VACCINE
P00012,2021-12-02,0.00,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,EO14042 EMERGENT AV7909 ANTHRAX VACCINE
P00011,2021-09-30,"398,550,000.00",EXERCISE AN OPTION,EMERGENT AV7909 ANTHRAX VACCINE
P00010,2021-06-10,0.00,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,EMERGENT AV7909 ANTHRAX VACCINE
P00009,2021-04-22,0.00,OTHER ADMINISTRATIVE ACTION,EMERGENT AV7909 ANTHRAX VACCINE
P00008,2021-03-22,0.00,OTHER ADMINISTRATIVE ACTION,EMERGENT AV7909 ANTHRAX VACCINE
P00007,2020-11-19,0.00,OTHER ADMINISTRATIVE ACTION,THE PURPOSE OF THIS MODIFICATION IS TO MODIFY ARTICLE G.3 KEY PERSONNEL.
P00006,2020-07-13,"258,000,000.00",EXERCISE AN OPTION,"THE PURPOSE OF THIS MODIFICATION IS TO MODIFY ARTICLES B.3 OPTION PRICES, B.5 ADVANCE UNDERSTANDINGS, C.1 STATEMENT OF WORK AND SECTION J ? LIST OF ATTACHMENTS."
P00005,2020-04-10,0.00,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,"UPDATE LANGUAGE IN SECTION B.3 OPTION PRICES, B.5 ADVANCE UNDERSTANDINGS, F.3 DELIVERIES, G.1 CONTRACTING OFFICER, AND G.4 INVOICE SUBMISSION"
P00004,2020-03-03,0.00,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,UPDATE LANGUAGE IN SECTION B.5 ADVANCE UNDERSTANDINGS AND G.3 KEY PERSONNEL
P00003,2019-07-30,"260,988,090.00",EXERCISE AN OPTION,OPTION FUNDING TO SUPPORT PROCUREMENT OF AV7909
2,2018-08-29,"4,999,071.00",SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,IGF::OT:IGF
1,2017-03-16,0.00,CHANGE ORDER,IGF::OT:IGF
0,2016-09-30,"198,705,042.00",,IGF::OT::IGF
