Modification Number,Action Date,Amount,Action Type,Transaction Description
0,05/31/2019,"$23,665,883",--,VIGIV BUY AND ASSOCIATED SERVICES
P00001,03/19/2020,$0,B: SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,VIGIV BUY AND ASSOCIATED SERVICES
P00002,05/21/2020,"$54,639,375",G: EXERCISE AN OPTION,VIGIV BUY AND ASSOCIATED SERVICES
P00003,03/26/2021,$0,B: SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,VIGIV BUY AND ASSOCIATED SERVICES
P00004,05/26/2021,"$56,551,746",B: SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,VIGIV BUY AND ASSOCIATED SERVICES
P00005,10/25/2021,$0,B: SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,EO14042 VIGIV BUY AND ASSOCIATED SERVICES
P00006,03/29/2022,$0,B: SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,DEADLINE EXTENSION AND INCORPORATION OF IPP CLAUSE
P00007,04/05/2022,"$58,531,054",B: SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,OPTION 4 EXERCISE
P00008,03/20/2023,$0,B: SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,EXTENSION OF ORDERING PERIOD FOR OPTION 5/YEAR 5 T... read more
P00009,05/19/2023,"$60,579,663",G: EXERCISE AN OPTION,EXTENSION OF ORDERING PERIOD FOR OPTION 5/YEAR 5 T... read more
